Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
444,Lucas Mezenga,br BRA,DF,Botafogo (RJ),20,2001,3.1,119,157,75.8,2307,813,35,39,89.7,71,92,77.2,12,24,50.0,0,0.1,0.2,-0.1,2,3,0,0,7,Matches,d62f5849
445,Michel,br BRA,DF,Ceará,31,1990,11.8,450,573,78.5,6724,2951,253,283,89.4,167,214,78.0,17,41,41.5,1,0.4,0.4,+0.6,3,40,5,3,50,Matches,05384ea1
446,Carlos Miguel,br BRA,GK,Corinthians,23,1998,2.0,29,56,51.8,827,573,5,5,100.0,14,16,87.5,10,35,28.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches,84454067
447,Fernando Miguel,br BRA,GK,Fortaleza,36,1985,20.0,318,488,65.2,9975,7908,59,59,100.0,132,133,99.2,123,288,42.7,0,0.0,0.0,0.0,1,11,0,0,0,Matches,f1f06658
448,Miranda,br BRA,DF,São Paulo,37,1984,12.8,547,622,87.9,11329,4023,118,133,88.7,325,351,92.6,85,114,74.6,0,0.0,0.1,0.0,1,22,0,0,31,Matches,314f2124
449,Paulo Miranda,br BRA,DF,Juventude,33,1988,16.4,653,768,85.0,13482,5068,185,199,93.0,370,414,89.4,93,141,66.0,0,0.3,0.1,-0.3,2,35,0,0,41,Matches,93a194e1
450,Paulinho Moccelin,br BRA,MFFW,Juventude,27,1994,4.3,57,114,50.0,1063,371,21,35,60.0,26,41,63.4,9,22,40.9,1,0.2,0.3,+0.8,4,5,3,1,6,Matches,d63fb6a8
451,Moisés,br BRA,DF,Internacional,26,1995,6.5,267,331,80.7,4169,1574,156,176,88.6,91,114,79.8,16,31,51.6,1,0.9,0.6,+0.1,7,24,2,2,18,Matches,a40af810
452,Moises,br BRA,FWMF,Fortaleza,25,1996,25.0,421,584,72.1,6713,1592,229,290,79.0,137,170,80.6,40,71,56.3,3,2.4,1.9,+0.6,31,36,21,3,66,Matches,ddd07a25
453,Rodrigo Moledo,br BRA,DF,Internacional,34,1987,13.5,456,522,87.4,8578,2656,147,162,90.7,267,293,91.1,35,51,68.6,0,0.3,0.1,-0.3,3,18,0,0,23,Matches,ce536c37
454,Jacob Montes,us USA,MF,Botafogo (RJ),23,1998,1.0,22,25,88.0,318,48,12,13,92.3,9,9,100.0,1,1,100.0,0,0.3,0.1,-0.3,3,0,0,0,2,Matches,69678c84
455,Moraes,br BRA,DFMF,Juventude,24,1997,15.2,494,701,70.5,8363,3175,253,280,90.4,195,271,72.0,43,109,39.4,1,0.6,1.1,+0.4,11,35,14,7,59,Matches,9b974a99
456,Airton Moraes,br BRA,GK,América (MG),27,1994,1.0,18,30,60.0,505,357,5,5,100.0,4,5,80.0,9,19,47.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches,5e8682b0
457,Júnior Moraes,ua UKR,FW,Corinthians,34,1987,4.5,56,73,76.7,621,114,33,37,89.2,14,17,82.4,0,3,0.0,0,0.2,0.1,-0.2,2,4,0,0,7,Matches,c43e5e7e
458,Wesley Moraes,br BRA,FW,Internacional,25,1996,3.3,67,88,76.1,799,182,42,56,75.0,14,16,87.5,1,2,50.0,0,0.5,1.0,-0.5,7,2,3,0,5,Matches,bfae110f
459,Morato,br BRA,FWMF,Avaí,29,1992,7.3,168,214,78.5,2315,698,107,121,88.4,50,65,76.9,5,11,45.5,1,1.0,0.7,0.0,8,14,13,2,29,Matches,96b49b3b
460,João Moreira,pt POR,DF,São Paulo,17,2004,3.2,154,176,87.5,2357,772,88,95,92.6,53,61,86.9,10,13,76.9,1,0.2,0.2,+0.8,3,10,5,2,11,Matches,b3be99e3
461,Lucas Moreira,br BRA,MFFW,Cuiabá,21,2000,1.4,50,67,74.6,704,211,32,36,88.9,16,18,88.9,1,5,20.0,0,0.2,0.2,-0.2,2,3,2,0,7,Matches,b9d412ff
462,Gustavo Mosquito,br BRA,FWMF,Corinthians,24,1997,12.6,287,394,72.8,4107,920,182,209,87.1,73,114,64.0,20,38,52.6,3,2.2,1.7,+0.8,18,16,10,4,23,Matches,c9ed46c4
463,Hugo Moura,br BRA,MF,Atl Paranaense,24,1998,19.4,643,779,82.5,12714,2929,235,273,86.1,298,325,91.7,96,138,69.6,0,0.5,0.4,-0.5,9,66,4,1,56,Matches,14100165
464,Alex Muralha,br BRA,GK,Coritiba,32,1989,19.0,341,497,68.6,9127,6563,94,94,100.0,129,131,98.5,113,263,43.0,0,0.0,0.0,0.0,0,5,1,0,1,Matches,38082f12
465,Muriqui,br BRA,FWMF,Avaí,35,1986,14.3,277,376,73.7,4005,1112,154,182,84.6,91,129,70.5,15,27,55.6,0,0.7,0.9,-0.7,9,33,9,0,53,Matches,a55ac46c
466,Andrey Ramos do Nascimento,br BRA,MF,Coritiba,23,1998,5.4,247,283,87.3,4285,1318,119,129,92.2,94,104,90.4,24,33,72.7,0,0.3,0.4,-0.3,7,30,7,3,38,Matches,eb55ab5a
467,Matheus Nascimento,br BRA,FWMF,Botafogo (RJ),17,2004,6.8,83,127,65.4,1093,228,52,69,75.4,23,33,69.7,5,7,71.4,0,0.5,0.2,-0.5,9,9,1,0,9,Matches,e744c3de
468,Natan,br BRA,DF,Bragantino,20,2001,32.0,1323,1515,87.3,28058,8127,355,386,92.0,729,797,91.5,223,307,72.6,1,1.0,0.9,0.0,15,92,11,3,128,Matches,94bccc82
469,Natanael,br BRA,DF,Coritiba,20,2002,16.0,514,678,75.8,7603,3338,306,347,88.2,162,223,72.6,30,56,53.6,0,0.6,0.6,-0.6,10,26,12,8,44,Matches,0b618504
470,Natanael,br BRA,DFFW,Avaí,31,1990,13.4,345,537,64.2,6388,2588,147,180,81.7,133,188,70.7,55,141,39.0,3,1.8,1.9,+1.2,15,24,16,13,26,Matches,ed560575
