Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,10.1,2,0,0,10,7,1,34,13,11,0,0,0,39,10,10,50.0,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,7c736064
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16.0,2,0,0,0,3,0,0,0,0,0,0,0,4,4,0,100.0,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,0.8,0,0,0,1,0,0,1,0,1,,,0,,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,5.0,2,0,0,9,4,0,0,7,6,0,0,0,24,10,5,66.7,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,0.9,2,0,0,2,0,0,0,4,1,0,0,0,7,8,0,100.0,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,31.3,2,0,0,16,63,6,77,24,7,0,0,0,151,7,25,21.9,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,1.2,0,0,0,3,1,0,1,3,0,0,0,0,6,1,2,33.3,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,5.4,1,0,0,8,13,0,7,6,7,0,0,0,20,3,14,17.6,Matches,fce54d7d
185,Edenílson,br BRA,MF,Internacional,32,1989,24.3,3,0,0,18,23,1,62,15,22,1,0,0,132,14,29,32.6,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,32.7,6,0,0,45,9,0,1,54,13,0,0,1,162,84,54,60.9,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,7.4,4,0,0,8,10,9,11,1,5,1,0,0,18,10,16,38.5,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,4.1,0,0,0,4,7,0,20,1,0,,,0,,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,9.1,7,0,0,18,23,0,16,10,12,0,0,0,61,7,10,41.2,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,15.8,5,0,0,12,16,1,1,27,15,1,1,0,86,35,26,57.4,Matches,041250aa
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,12.2,3,0,0,21,28,0,11,10,10,0,0,0,56,16,18,47.1,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,10.0,4,0,0,30,28,5,15,5,9,1,0,0,37,10,25,28.6,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,12.9,5,0,0,25,9,1,0,20,18,0,0,0,71,14,12,53.8,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,2.9,1,0,0,3,6,0,19,3,6,0,0,0,15,0,1,0.0,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,24.7,9,1,1,21,22,1,6,38,9,0,0,0,97,34,26,56.7,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,3.4,1,0,0,9,4,3,2,0,4,0,0,0,5,0,5,0.0,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,20.5,2,0,0,30,14,0,5,31,26,0,0,0,97,32,23,58.2,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,11.7,5,0,0,13,36,6,62,5,5,0,0,0,58,6,8,42.9,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,16.5,2,0,0,29,25,13,10,1,3,0,0,0,26,26,80,24.5,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,1.2,0,0,0,2,3,0,0,1,1,0,0,0,6,3,3,50.0,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,29.0,2,1,0,41,58,2,29,27,36,0,0,0,151,62,56,52.5,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,21.0,6,0,0,31,52,5,117,16,17,0,0,0,100,6,18,25.0,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37.0,5,0,0,0,4,0,0,0,0,0,0,0,40,5,1,83.3,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,4.4,2,0,0,12,13,1,9,4,6,0,0,0,30,5,9,35.7,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,0.8,1,0,0,4,0,0,0,2,3,0,0,0,6,0,0,,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,1.5,0,0,0,1,1,0,0,0,1,0,0,0,6,4,9,30.8,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38.0,2,0,0,0,5,0,0,0,1,0,0,0,31,14,0,100.0,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,16.7,3,0,0,17,41,1,24,7,19,0,0,0,77,7,33,17.5,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,10.0,3,0,0,15,11,2,51,11,21,0,0,0,44,7,8,46.7,Matches,a9cc58fe
210,Willian Farias,br BRA,MF,Coritiba,32,1989,17.7,7,0,0,12,25,0,2,19,21,0,0,0,99,16,9,64.0,Matches,d1fcff2f
211,Lucas Fasson,br BRA,DF,Atl Paranaense,20,2001,0.8,0,0,0,0,0,0,0,1,0,0,0,0,7,1,1,50.0,Matches,31ecbf29
212,Felipe,br BRA,MF,Fortaleza,27,1994,9.8,2,1,0,12,13,0,3,13,7,0,0,0,56,15,8,65.2,Matches,cadbabf9
213,Luis Felipe,br BRA,DF,Santos,28,1993,10.9,3,0,0,13,4,1,0,18,9,,,1,,,,,Matches,746c8624
214,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,19.8,3,0,0,21,5,0,2,17,20,0,0,0,70,33,22,60.0,Matches,90749ab9
215,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,18.6,3,0,0,30,29,0,63,8,10,0,0,0,92,9,13,40.9,Matches,a109d777
216,Matheus Fernandes,br BRA,MF,Atl Paranaense,23,1998,7.6,2,0,0,14,3,0,1,9,13,0,0,0,55,6,4,60.0,Matches,f76fdcd2
217,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,31.2,1,0,0,0,6,0,0,2,1,0,0,0,28,5,0,100.0,Matches,9a82f79a
218,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,24.7,7,0,0,22,59,3,154,21,24,2,0,0,141,7,19,26.9,Matches,97a17c0b
219,Rodrigo Fernández,uy URU,MF,Santos,26,1996,25.7,15,0,0,84,27,0,17,20,52,0,2,0,205,29,16,64.4,Matches,617ee116
220,Fernandinho,br BRA,MF,Atl Paranaense,36,1985,10.8,5,0,0,26,16,1,13,11,8,0,0,0,71,17,19,47.2,Matches,101da2b5
221,Derick Fernando,br BRA,DF,Santos,19,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,a19d96f6
222,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,19.4,7,2,1,26,39,12,25,11,10,0,0,0,102,26,37,41.3,Matches,824ed016
223,Nahuel Ferraresi,ve VEN,DF,São Paulo,23,1998,7.9,1,1,0,9,10,0,0,12,11,0,1,0,53,14,8,63.6,Matches,719aab45
224,Luiz Filipe,br BRA,MFFW,Goiás,20,2001,0.4,1,0,0,1,2,0,1,0,1,1,0,0,2,0,0,,Matches,4a615e0b
225,Flávio,br BRA,MF,América (MG),21,2000,0.3,0,0,0,1,1,0,1,2,2,0,0,0,1,1,0,100.0,Matches,f0367bfd
226,Rafael Forster,br BRA,DF,Juventude,31,1990,18.1,1,0,0,15,14,0,7,26,18,0,0,0,116,36,32,52.9,Matches,eb3f56e5
227,Matheus França,br BRA,FWMF,Flamengo,17,2004,7.5,1,0,0,15,5,0,8,3,5,0,0,0,27,13,14,48.1,Matches,077faf72
228,Fred,br BRA,FWMF,Fluminense,38,1983,1.4,1,0,0,2,0,0,1,0,0,0,0,0,1,3,4,42.9,Matches,acaeba74
229,Marlon Freitas,br BRA,MF,Atl Goianiense,26,1995,27.5,2,0,0,16,5,2,23,28,29,0,0,1,164,17,18,48.6,Matches,ae3181de
230,Douglas Friedrich,br BRA,GK,Avaí,33,1988,10.4,1,1,0,1,2,0,0,0,0,0,0,0,8,6,0,100.0,Matches,8789242d
231,Gabriel,br BRA,MF,São Paulo,22,1999,0.5,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0.0,Matches,135d500d
232,Gabriel,br BRA,MF,Internacional,29,1992,23.8,2,0,0,45,26,0,8,44,58,0,0,0,162,17,16,51.5,Matches,e9c0d5d8
233,Gabriel,br BRA,GK,Coritiba,29,1992,13.0,2,0,0,1,1,0,0,0,0,0,1,0,11,4,1,80.0,Matches,f93ed0df
234,Gabriel,br BRA,MF,Botafogo (RJ),28,1993,8.3,3,0,0,13,11,0,11,17,9,0,1,0,41,17,6,73.9,Matches,0d10333c
235,Eduardo Gabriel,br BRA,DF,Santos,25,1996,33.0,7,0,0,13,36,1,0,49,17,1,0,0,122,80,58,58.0,Matches,aed65960
236,Luiz Gabriel,br BRA,FWMF,Coritiba,19,2002,1.1,1,0,0,1,4,0,0,3,3,0,0,0,4,0,2,0.0,Matches,f9c619e0
237,Marquinhos Gabriel,br BRA,MFFW,Goiás,31,1990,8.4,1,0,0,6,17,3,20,1,6,0,0,0,37,5,7,41.7,Matches,fcd113c4
238,Vitor Gabriel,br BRA,FWMF,Juventude,22,2000,8.6,6,0,0,30,12,3,3,0,3,0,0,0,25,37,42,46.8,Matches,094c2abd
239,Matías Galarza,py PAR,MF,Coritiba,19,2002,6.7,4,0,0,26,15,0,10,13,9,0,0,0,53,4,11,26.7,Matches,8e97a57b
240,Matheus Galdezani,br BRA,MF,Avaí,29,1992,3.2,3,0,0,10,4,0,4,6,8,0,0,0,16,1,5,16.7,Matches,5042eb90
241,Thiago Galhardo,br BRA,FWMF,Fortaleza,32,1989,15.0,5,0,0,16,20,2,10,6,7,1,0,0,44,38,50,43.2,Matches,766f48dd
242,Giuliano Galoppo,ar ARG,MF,São Paulo,22,1999,7.9,1,0,0,13,7,0,7,3,11,0,0,0,34,13,13,50.0,Matches,a8eeadaf
243,Léo Gamalho,br BRA,FW,Coritiba,36,1986,18.4,2,0,0,24,35,7,6,0,6,1,0,0,36,66,65,50.4,Matches,f73056ee
244,Ganso,br BRA,MFFW,Fluminense,32,1989,27.5,7,0,0,30,46,0,60,9,22,1,0,0,125,9,25,26.5,Matches,23593121
245,García,br BRA,DFMF,Palmeiras,20,2002,1.1,1,0,0,0,1,0,1,2,0,0,0,0,4,3,1,75.0,Matches,45d071f4
246,Bryan García,ec ECU,MF,Atl Paranaense,21,2001,3.1,2,0,0,4,4,0,1,2,4,0,0,0,28,0,4,0.0,Matches,7b66d351
247,Luan Garcia,br BRA,DF,Palmeiras,28,1993,13.6,2,0,0,21,10,1,1,22,4,0,0,1,58,19,11,63.3,Matches,6ebe6cc1
248,Gaspar,br BRA,FW,Avaí,19,2002,0.4,0,0,0,0,1,1,1,1,2,0,0,0,2,0,0,,Matches,996af9a5
249,Rafael Gava,br BRA,MF,Cuiabá,28,1993,22.7,2,0,0,29,22,4,178,15,17,0,0,0,131,22,25,46.8,Matches,713e1a36
250,Lucas Gazal,br BRA,DF,Atl Goianiense,22,1999,14.5,1,1,0,19,2,1,3,16,4,0,0,0,51,33,21,61.1,Matches,dcae46d5
251,Guilherme Gehring,br BRA,MF,Juventude,16,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,37faab98
252,Geovane,br BRA,MF,Ceará,22,1999,6.1,4,0,0,19,13,0,6,5,4,0,0,0,35,5,7,41.7,Matches,099a14d5
253,Gil,br BRA,DF,Corinthians,34,1987,22.7,4,0,0,13,7,3,0,29,13,0,1,0,116,62,24,72.1,Matches,31edef00
254,Giovane,br BRA,FWDF,Corinthians,18,2003,3.3,2,0,0,9,4,1,6,1,2,1,0,0,7,5,10,33.3,Matches,1b567cdc
255,Giovani,br BRA,FWMF,Palmeiras,18,2004,0.4,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0.0,Matches,a199bd5f
256,Glédson,br BRA,GK,Avaí,38,1983,5.0,2,0,0,0,3,0,0,0,0,0,0,0,4,0,1,0.0,Matches,a9d625f5
257,Diego Godín,uy URU,DF,Atlético Mineiro,35,1986,1.0,0,0,0,2,2,0,0,2,2,0,0,0,6,3,3,50.0,Matches,fc4f85b1
258,Bruno Gomes,br BRA,MF,Coritiba,20,2001,16.6,3,0,0,29,48,0,21,23,21,0,0,0,94,9,13,40.9,Matches,76f2bbf8
259,Igor Gomes,br BRA,MF,São Paulo,22,1999,22.9,5,1,1,35,28,3,64,18,13,0,0,0,117,32,22,59.3,Matches,6a7fb945
260,Igor Gomes,br BRA,DF,Internacional,20,2001,1.3,0,0,0,1,2,0,1,1,0,0,1,0,5,0,1,0.0,Matches,509d5b3d
261,João Gomes,br BRA,MF,Flamengo,20,2001,20.9,8,0,0,54,49,0,11,26,51,0,0,0,130,13,18,41.9,Matches,8b57ad2c
262,Gustavo Gómez,py PAR,DF,Palmeiras,28,1993,30.0,9,0,0,31,19,7,12,48,21,0,1,0,146,103,71,59.2,Matches,d5ce52a5
263,Aloísio dos Santos Gonçalves,cn CHN,FWMF,América (MG),33,1988,10.5,4,0,0,37,18,10,6,4,8,0,0,0,30,8,27,22.9,Matches,9851b2e0
264,Diego Gonçalves,br BRA,FW,Botafogo (RJ),27,1994,5.4,2,0,0,8,7,2,22,2,3,0,0,0,23,11,12,47.8,Matches,c707fc37
265,Matheus Gonçalves,br BRA,FW,Flamengo,16,2005,0.3,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,,Matches,071a6836
266,Ricardo Goulart,br BRA,MFFW,Santos,30,1991,4.5,2,0,0,6,8,0,6,1,3,0,0,0,17,8,6,57.1,Matches,f053730b
267,Daniel Guedes,br BRA,DFMF,Cuiabá,27,1994,8.8,4,0,0,12,5,3,85,15,9,0,0,0,36,7,10,41.2,Matches,25f61bc3
268,Roger Guedes,br BRA,FWMF,Corinthians,25,1996,28.3,6,0,0,17,56,10,27,3,3,0,0,0,86,33,35,48.5,Matches,612a9dd7
269,Paolo Guerrero,pe PER,FW,Avaí,38,1984,4.8,2,0,0,11,8,2,2,1,0,0,0,0,18,19,22,46.3,Matches,ae6657a1
270,Guga,br BRA,DF,Atlético Mineiro,23,1998,18.6,1,0,0,19,22,1,78,27,35,0,0,0,89,14,21,40.0,Matches,6975a3e1
271,Marcos Guilherme,br BRA,FWMF,São Paulo,26,1995,6.4,1,0,0,4,6,1,9,3,2,0,0,0,23,2,4,33.3,Matches,d5ff6084
272,Marcos Guilherme,br BRA,MF,Santos,26,1995,0.3,0,0,0,1,0,0,1,0,1,0,0,0,3,2,0,100.0,Matches,d5ff6084
273,Gustavinho,br BRA,MF,América (MG),20,2001,4.3,2,0,0,7,12,0,14,4,9,0,0,0,21,4,7,36.4,Matches,69896b0e
274,Habraão,br BRA,DF,Fortaleza,20,2001,2.4,0,0,0,6,4,0,0,1,2,0,1,0,8,11,8,57.9,Matches,1e329d13
275,Lucas Halter,br BRA,DF,Atl Paranaense,21,2000,1.1,1,0,0,3,1,0,0,2,0,0,0,0,5,0,0,,Matches,7aa882a2
276,Lucas Halter,br BRA,DF,Goiás,21,2000,11.9,2,0,0,7,1,1,2,9,7,0,0,0,38,16,14,53.3,Matches,7aa882a2
277,Hayner,br BRA,DF,Atl Goianiense,26,1995,15.3,8,1,0,28,33,6,70,22,10,1,0,0,54,18,19,48.6,Matches,246c7429
278,Heitor,br BRA,DF,Internacional,21,2000,4.4,2,0,0,2,1,0,13,9,13,0,0,0,17,2,1,66.7,Matches,e0839492
279,Thiago Heleno,br BRA,DF,Atl Paranaense,33,1988,12.7,4,1,0,11,4,0,1,23,6,0,0,0,59,16,19,45.7,Matches,827422f9
280,Helinho,br BRA,FWMF,Bragantino,21,2000,19.0,8,0,0,36,21,4,69,19,15,0,0,0,108,9,17,34.6,Matches,5837cb60
281,Henrique,br BRA,DF,Coritiba,35,1986,17.9,5,1,0,15,5,1,3,21,12,0,2,1,70,21,24,46.7,Matches,429163de
282,Arthur Henrique,br BRA,DF,Atl Goianiense,27,1994,10.7,0,1,0,14,10,0,27,16,19,0,0,0,57,11,10,52.4,Matches,ae46bd26
283,Bruno Henrique,br BRA,FWMF,Flamengo,31,1990,6.8,3,0,0,11,20,8,11,4,8,0,0,0,28,13,11,54.2,Matches,5edff24f
284,Daniel Henrique,br BRA,FW,Ceará,17,2004,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches,1ef923db
285,Gustavo Henrique,br BRA,DF,Flamengo,28,1993,3.8,0,0,0,5,0,0,0,5,3,0,0,0,11,13,2,86.7,Matches,fa066690
286,Luis Henrique,br BRA,FWMF,Botafogo (RJ),20,2001,2.9,1,0,0,4,3,2,6,3,1,0,0,0,17,2,0,100.0,Matches,f36d5624
287,Luiz Henrique,br BRA,FWMF,Fluminense,21,2001,11.7,0,0,0,18,21,2,21,9,19,0,0,0,64,19,27,41.3,Matches,8059806f
288,Paulo Henrique,br BRA,DFMF,Juventude,25,1996,16.7,3,0,0,33,13,3,94,11,27,0,1,0,130,19,17,52.8,Matches,25a0cb08
289,Pedro Henrique,br BRA,DF,Atl Paranaense,26,1995,25.6,7,0,0,21,22,0,3,42,24,0,0,0,123,70,38,64.8,Matches,4322e5d7
290,Pedro Henrique,br BRA,FWMF,Internacional,31,1990,17.7,6,0,0,41,47,18,81,9,21,1,0,0,61,26,26,50.0,Matches,460976a2
291,Hércules,br BRA,MFFW,Fortaleza,21,2000,15.2,1,0,0,17,11,1,17,10,16,0,0,0,100,13,9,59.1,Matches,eadc7b45
292,Nicolás Hernández,co COL,DF,Atl Paranaense,24,1998,18.0,3,0,0,18,5,0,1,22,17,0,0,1,70,17,26,39.5,Matches,86046c18
293,Hugo,br BRA,DFMF,Goiás,24,1997,7.8,3,0,0,11,6,1,22,11,11,0,0,0,49,17,10,63.0,Matches,bd2593f3
294,Hugo,br BRA,DFMF,Botafogo (RJ),20,2001,12.2,3,1,0,18,12,0,35,20,19,0,0,0,57,13,14,48.1,Matches,de3dc682
295,José Hugo,br BRA,FWMF,Coritiba,22,1999,4.4,0,0,0,6,15,1,9,1,5,0,0,0,26,9,6,60.0,Matches,d0f01217
296,Victor Hugo,br BRA,MF,Flamengo,17,2004,13.9,1,0,0,7,13,1,14,11,11,0,0,0,61,17,35,32.7,Matches,33fca7f7
297,Vitor Hugo,br BRA,FW,Goiás,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,217f53a6
298,Hulk,br BRA,FW,Atlético Mineiro,35,1986,23.2,6,0,0,35,59,15,43,3,6,0,0,0,49,17,42,28.8,Matches,33a1f72e
299,José Hurtado,ec ECU,DF,Bragantino,20,2001,6.6,1,0,0,8,4,1,33,5,11,0,1,0,31,11,11,50.0,Matches,cb067e96
300,Hyoran,br BRA,MF,Bragantino,28,1993,14.2,1,0,0,17,14,1,75,10,16,0,0,0,60,7,12,36.8,Matches,ffb88c28
301,Igor,br BRA,MFFW,Flamengo,18,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,fb19d550
302,André Inácio,br BRA,FW,Flamengo,19,2002,0.5,0,0,0,0,2,0,1,0,0,0,0,0,6,1,0,100.0,Matches,cc77d69c
303,Mauricio Isla,cl CHI,DF,Flamengo,33,1988,3.8,0,0,0,3,2,0,13,6,3,0,1,0,19,7,8,46.7,Matches,de4517dd
304,Jadsom,br BRA,MF,Bragantino,20,2001,14.1,7,0,0,27,9,0,3,34,18,0,0,0,98,6,7,46.2,Matches,92859e80
305,Jadson,br BRA,MF,Juventude,28,1993,29.1,9,1,0,39,50,1,31,24,46,0,0,0,181,7,18,28.0,Matches,05748af4
306,Jailson,br BRA,GK,América (MG),40,1981,12.0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches,01f7b8c3
307,Jair,br BRA,MF,Atlético Mineiro,27,1994,23.0,5,0,0,46,31,0,12,32,41,0,1,0,127,33,22,60.0,Matches,f3466edc
308,Jandrei,br BRA,GK,São Paulo,28,1993,18.3,0,0,0,0,3,0,0,1,0,0,0,0,25,9,0,100.0,Matches,85ea4399
309,Vinícius Jaú,br BRA,MF,Avaí,23,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,192d3898
310,Pablo Javier García,uy URU,FW,Coritiba,22,1999,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,895321cd
311,Jean,br BRA,MF,Juventude,27,1994,13.1,6,0,0,24,15,1,5,39,30,0,0,0,69,27,24,52.9,Matches,69a34ec0
312,Jefferson,br BRA,DF,Atl Goianiense,25,1997,25.3,5,0,0,38,21,0,74,23,22,0,0,0,140,28,23,54.9,Matches,9df5f945
313,Jefferson,br BRA,FW,Botafogo (RJ),22,1999,17.8,3,0,0,23,34,1,12,12,16,0,0,0,111,10,17,37.0,Matches,45cce300
314,Jemerson,br BRA,DF,Atlético Mineiro,29,1992,11.1,6,0,0,21,6,1,0,10,8,0,0,0,46,19,13,59.4,Matches,7cab69b5
315,Jenison,br BRA,FW,Cuiabá,30,1991,3.6,2,0,0,8,3,1,3,2,1,0,0,0,15,18,11,62.1,Matches,767e6b7f
316,Alexandre Jesus,br BRA,MFDF,Fluminense,20,2001,0.7,0,0,0,1,1,0,5,5,0,0,0,0,10,2,5,28.6,Matches,25a323f3
317,Jô,br BRA,FW,Ceará,34,1987,8.7,1,1,0,14,10,8,2,2,1,0,0,0,15,39,22,63.9,Matches,e47d11f8
318,Jô,br BRA,FW,Corinthians,34,1987,2.2,1,0,0,4,5,1,1,1,1,0,0,0,4,13,8,61.9,Matches,e47d11f8
319,Joaquim,br BRA,DF,Cuiabá,23,1998,23.9,4,0,0,27,20,1,4,36,28,0,0,0,140,91,32,74.0,Matches,69e5e199
320,John,br BRA,GK,Santos,25,1996,1.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Matches,33a235af
321,Jonas,br BRA,MF,São Paulo,22,1999,0.3,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,,Matches,32794a5b
322,Felipe Jonatan,br BRA,DF,Santos,23,1998,23.0,3,0,0,25,21,2,95,34,17,0,0,0,156,23,28,45.1,Matches,0102ca7f
323,Jonathan,br BRA,DF,Botafogo (RJ),23,1998,0.5,0,0,0,1,0,0,0,1,1,0,0,0,2,1,4,20.0,Matches,f3f60814
324,Jorge,br BRA,DF,Palmeiras,25,1996,5.2,1,0,0,5,10,0,18,3,8,0,0,1,25,8,9,47.1,Matches,13c44fc5
325,Jorginho,br BRA,MF,Atl Goianiense,31,1991,18.2,8,0,0,17,30,6,67,6,18,0,0,0,107,27,24,52.9,Matches,1f809750
326,Jhojan Julio,ec ECU,FWMF,Santos,23,1998,9.2,2,0,0,22,21,5,21,9,13,0,0,0,49,12,18,40.0,Matches,b1fc89f5
327,Juninho,br BRA,MF,América (MG),35,1986,0.2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches,2cc16e46
328,Juninho,br BRA,MF,América (MG),34,1987,34.5,6,0,0,33,36,3,29,31,28,1,1,0,231,22,63,25.9,Matches,7d10ca2e
329,Renato Junior,br BRA,FWMF,Goiás,19,2002,5.5,3,0,0,13,10,1,4,2,4,0,0,0,27,14,20,41.2,Matches,80b72720
330,Jussa,br BRA,MFDF,Fortaleza,25,1996,7.0,1,0,0,16,0,1,2,8,1,0,1,2,39,9,9,50.0,Matches,883f5dc8
331,Kaiky,br BRA,DF,Santos,18,2004,1.0,0,0,0,0,3,0,0,2,0,0,0,0,2,2,0,100.0,Matches,55634fb8
332,Lucas Kal,br BRA,MF,América (MG),25,1996,24.0,4,0,0,28,10,0,3,32,19,0,0,0,142,37,23,61.7,Matches,33ed689d
333,Kanu,br BRA,DF,Botafogo (RJ),24,1997,16.1,5,0,0,15,11,0,1,23,10,0,0,0,73,42,25,62.7,Matches,fefa9b9a
334,Alan Kardec,br BRA,FWMF,Atlético Mineiro,33,1989,2.9,0,0,0,6,4,0,0,0,1,0,0,0,7,14,12,53.8,Matches,e7fba767
335,Kauan,br BRA,FW,Bragantino,18,2003,0.3,1,0,0,4,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches,34375e0b
336,Kawê,br BRA,MFFW,América (MG),19,2002,0.3,0,0,0,2,1,1,1,0,0,0,0,0,3,0,3,0.0,Matches,f1bca9ec
337,Kayque,br BRA,MF,Botafogo (RJ),21,2000,3.1,3,0,0,8,11,1,2,2,5,0,0,0,22,3,5,37.5,Matches,54b980d6
338,Renato Kayser,br BRA,FW,Fortaleza,25,1996,1.8,0,0,0,3,3,0,1,0,0,0,0,0,8,1,4,20.0,Matches,c7495dda
339,Gabriel Kazu,br BRA,MF,Avaí,22,1999,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches,42430d76
340,Keiller,br BRA,GK,Internacional,25,1996,15.0,2,0,0,1,6,0,0,0,0,0,1,0,5,8,0,100.0,Matches,e38fde76
341,Thalisson Kelven,br BRA,DF,Juventude,23,1998,20.0,3,0,0,17,7,0,0,31,13,0,0,1,64,40,39,50.6,Matches,18e87471
342,Kelvi,br BRA,MF,Juventude,19,2002,0.5,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,,Matches,33143d85
343,Kelvin,br BRA,MFFW,Atl Goianiense,24,1997,3.4,0,0,0,0,4,1,20,1,3,0,0,0,13,2,8,20.0,Matches,b8dab818
344,Kelvyn,br BRA,FWDF,Ceará,22,1999,0.6,0,0,0,2,0,0,2,0,1,0,0,0,3,0,0,,Matches,8b992778
345,John Kennedy,br BRA,FWMF,Fluminense,19,2002,1.6,3,0,0,5,1,0,1,1,0,0,0,0,1,3,8,27.3,Matches,132880e0
346,Keno,br BRA,FWMF,Atlético Mineiro,32,1989,20.6,5,0,0,21,30,7,101,3,20,0,0,0,77,13,11,54.2,Matches,98558c11
347,Kevin,br BRA,DF,Avaí,24,1997,29.2,3,0,0,34,20,3,184,37,40,0,0,0,185,32,25,56.1,Matches,1f07666f
348,Khellven,br BRA,DF,Atl Paranaense,20,2001,23.4,1,0,0,36,21,0,137,39,25,0,1,0,104,12,20,37.5,Matches,cf18ab1b
349,Willian Klaus,br BRA,DF,Atl Goianiense,28,1994,6.0,1,0,0,6,2,1,0,8,3,0,0,0,18,18,8,69.2,Matches,ddc86898
350,Willian Klaus,br BRA,DF,Botafogo (RJ),28,1994,1.0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,Matches,ddc86898
351,Benjamín Kuscevic,cl CHI,DF,Palmeiras,25,1996,3.3,1,0,0,0,3,1,0,9,4,0,0,0,10,10,5,66.7,Matches,9edddc34
352,Gabriel Lacerda,br BRA,DF,Ceará,22,1999,20.0,4,0,0,14,3,0,6,21,14,0,1,0,91,49,31,61.3,Matches,0664b5a6
353,Anthony Landazuri,ec ECU,DF,Fortaleza,24,1997,5.8,1,0,0,15,6,0,5,8,4,1,0,0,30,6,9,40.0,Matches,b3a267f0
354,Thauan Lara,br BRA,DFFW,Internacional,18,2004,3.8,2,0,0,6,6,0,5,4,6,0,0,0,13,5,5,50.0,Matches,c4dba1f3
