Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,4,0,0,24,6,0,110,13,25,0,0,0,180,12,32,27.3,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,1,0,0,0,1,0,0,0,0,0,0,0,3,4,1,80.0,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,5,2,1,21,15,0,29,5,17,0,0,0,42,17,19,47.2,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,10,1,1,38,54,0,5,36,38,0,1,0,253,9,20,31.0,Matches,ec604e2c
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,0,0,0,2,7,4,1,1,2,0,0,0,17,7,18,28.0,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,3,0,0,21,17,2,12,4,5,1,0,0,38,17,24,41.5,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,4,0,0,26,15,2,89,10,16,0,1,0,111,11,12,47.8,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,1,0,0,12,6,0,4,17,4,0,0,0,59,22,15,59.5,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,1,0,0,1,5,0,7,0,3,0,0,0,8,1,2,33.3,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,1,0,0,9,3,0,0,6,6,0,0,0,29,37,11,77.1,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,4,0,0,46,55,3,172,7,31,0,0,0,145,11,16,40.7,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,2,0,0,10,0,0,4,1,3,0,0,0,19,1,5,16.7,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,3,0,0,18,51,12,160,15,18,0,0,0,134,15,36,29.4,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,4,0,0,15,9,3,20,10,7,0,0,0,32,6,15,28.6,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,0,0,0,4,4,0,0,0,0,0,0,0,0,1,2,33.3,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,9,0,0,38,23,4,55,10,16,0,0,0,71,9,18,33.3,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,0,0,0,16,23,2,75,14,15,0,0,0,67,11,13,45.8,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,5,0,0,32,18,0,3,26,29,0,0,0,82,27,20,57.4,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,3,0,0,8,1,0,5,3,6,0,0,0,22,0,5,0.0,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,2,0,0,21,8,0,24,16,8,0,0,0,31,51,25,67.1,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,3,1,1,34,32,3,50,14,18,0,0,0,129,47,46,50.5,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,1,0,0,6,4,2,0,0,1,0,0,0,3,6,4,60.0,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,0,0,0,0,0,0,1,0,0,,,0,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,0,0,0,1,1,0,8,1,2,0,0,0,5,2,7,22.2,Matches,d8a48dad
