Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,0.1,10,1,3,2,6,0,10,1,1,100.0,0,0.0,6,41,25,1,2,0,1,0,7,1,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,761,4,70,349,375,50,761,144,86,59.7,47,32.6,550,5919,3441,117,83,31,54,37,582,137,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,1468,62,418,724,338,9,1468,29,13,44.8,16,55.2,799,4407,2197,31,27,0,26,6,860,51,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,26,22,26,0,0,0,26,0,0,,0,,12,79,63,0,0,0,0,0,9,0,Matches,55196057
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,1700,238,847,813,52,27,1700,11,7,63.6,4,36.4,903,4280,2626,7,6,0,11,4,1004,3,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,57,1,5,34,18,0,57,1,1,100.0,0,0.0,41,268,105,2,3,0,2,1,41,3,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,236,5,31,120,88,5,236,7,2,28.6,3,42.9,146,701,263,4,7,1,12,10,158,12,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,950,24,148,398,425,73,950,105,57,54.3,39,37.1,628,5657,3246,110,77,26,41,35,677,175,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,7.9,506,83,269,214,24,6,506,6,2,33.3,4,66.7,260,1475,859,5,3,0,6,3,332,1,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,3.7,192,2,19,71,103,25,192,7,5,71.4,2,28.6,118,790,473,22,5,9,9,2,129,40,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,20.6,1214,213,645,553,19,8,1214,2,2,100.0,0,0.0,688,3364,2328,10,7,1,2,1,811,2,Matches,3db1684c
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,907,106,375,429,111,16,907,13,5,38.5,6,46.2,357,1648,835,4,6,0,9,5,373,16,Matches,fb29d05d
84,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,69,0,4,43,23,3,69,9,3,33.3,6,66.7,48,239,158,5,4,1,5,2,43,4,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,0.4,17,0,0,11,6,0,17,2,1,50.0,1,50.0,12,92,45,0,1,0,0,1,11,1,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,849,107,412,423,19,8,849,1,1,100.0,0,0.0,562,2721,1637,8,4,0,1,0,618,0,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,379,15,42,194,146,43,377,19,13,68.4,6,31.6,225,1230,346,15,5,2,30,23,290,43,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,594,12,58,320,222,25,592,31,13,41.9,17,54.8,355,2134,933,26,24,3,23,15,388,47,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,3.2,177,5,53,82,42,2,177,0,0,,0,,75,243,115,2,0,0,2,0,97,13,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,1968,103,537,924,527,46,1968,33,15,45.5,16,48.5,1038,4393,2186,45,45,4,16,17,1168,138,Matches,82549f54
91,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,102,0,5,48,50,11,102,5,3,60.0,2,40.0,62,246,133,2,0,0,9,4,81,26,Matches,8f774c7f
92,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,1,0,1,0,0,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,0,Matches,c080bb5e
93,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,1281,79,428,466,399,38,1281,20,8,40.0,12,60.0,569,2622,1434,34,16,9,27,19,644,108,Matches,16cd17b7
94,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,975,53,251,386,344,37,975,7,1,14.3,6,85.7,428,2695,1470,46,18,9,11,6,508,99,Matches,6d9dc5be
95,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,29,2,2,16,11,4,29,2,2,100.0,0,0.0,16,64,19,1,1,1,4,2,18,5,Matches,7f2b23f8
96,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,131,4,8,61,63,22,131,5,1,20.0,4,80.0,61,201,37,0,0,0,9,5,92,23,Matches,7f2b23f8
97,Caetano,br BRA,DF,Goiás,22,1999,24.6,1126,194,668,423,42,14,1126,3,1,33.3,1,33.3,554,2465,1546,2,3,2,7,3,642,5,Matches,226e5efd
98,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,283,4,36,118,137,17,283,20,7,35.0,10,50.0,181,1240,521,16,10,4,22,9,205,60,Matches,8d043f1d
99,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,463,54,187,274,4,3,463,1,1,100.0,0,0.0,288,1618,945,1,0,0,0,0,325,0,Matches,186ed8f1
