Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,0,24,5,20.8,2.51,0.52,0.00,0.00,16.5,3,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,4,65,20,30.8,2.57,0.79,0.06,0.20,19.0,0,0,0,4.1,4.1,0.06,-0.1,-0.1,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,0,4,0,0.0,4.24,0.00,0.00,,17.3,0,0,0,1.0,1.0,0.26,-1.0,-1.0,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,0,2,0,0.0,6.67,0.00,0.00,,,,0,0,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,3,11,5,45.5,0.92,0.42,0.27,0.60,10.6,0,0,0,1.1,1.1,0.10,+1.9,+1.9,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,0,1,0,0.0,0.23,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,5,38,12,31.6,3.01,0.95,0.13,0.42,15.9,0,0,0,6.5,6.5,0.17,-1.5,-1.5,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,4,47,16,34.0,1.96,0.67,0.09,0.25,21.0,0,0,0,3.4,3.4,0.07,+0.6,+0.6,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,0,2,1,50.0,1.08,0.54,0.00,0.00,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,11,72,23,31.9,3.17,1.01,0.14,0.43,16.2,0,1,3,11.1,8.7,0.12,-0.1,+1.3,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,2,20,6,30.0,2.34,0.70,0.10,0.33,20.7,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,0,6,0,0.0,0.52,0.00,0.00,,18.3,3,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,0,28,9,32.1,2.92,0.94,0.00,0.00,32.2,9,0,0,0.8,0.8,0.03,-0.8,-0.8,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,0,4,3,75.0,0.65,0.49,0.00,0.00,23.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,1,26,10,38.5,3.10,1.19,0.04,0.10,24.7,3,0,1,1.7,0.9,0.04,-0.7,+0.1,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,0,1,0,0.0,0.69,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,1,35,9,25.7,1.68,0.43,0.03,0.11,23.4,1,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches,828a04fa
